name,latitude,longitude
133101.000,47.2327133333,-1.55932
133102.000,47.2327133333,-1.55932
133103.000,47.2326766667,-1.559355
133104.000,47.232695,-1.559365
133105.000,47.232705,-1.55937
133106.000,47.2327166667,-1.55937333333
133107.000,47.2327283333,-1.55937666667
133108.000,47.2327416667,-1.55937833333
133109.000,47.2327533333,-1.559385
133110.000,47.2327616667,-1.55938833333
133111.000,47.2327616667,-1.5594
133112.000,47.2327566667,-1.55941166667
133113.000,47.2327533333,-1.55942166667
133114.000,47.2327516667,-1.55943166667
133115.000,47.2327516667,-1.55944333333
133116.000,47.23275,-1.55945333333
133117.000,47.2327483333,-1.55946666667
133118.000,47.2327416667,-1.55947666667
133119.000,47.2327316667,-1.55949333333
133120.000,47.2327316667,-1.55950833333
133121.000,47.2327266667,-1.55952333333
133122.000,47.2327216667,-1.55953833333
133123.000,47.232725,-1.55955166667
133124.000,47.2327283333,-1.55957166667
133125.000,47.232725,-1.55959
133126.000,47.2327233333,-1.559605
133127.000,47.2327233333,-1.559615
133128.000,47.2327116667,-1.559635
133129.000,47.2327083333,-1.55964
133130.000,47.2327016667,-1.55963833333
133131.000,47.2327033333,-1.55964
133132.000,47.2327033333,-1.55966
133133.000,47.2326983333,-1.55974
133134.000,47.2326933333,-1.55976666667
133135.000,47.2326833333,-1.55978333333
133136.000,47.2326766667,-1.55980166667
133137.000,47.2326683333,-1.559825
133138.000,47.2326666667,-1.55984
133139.000,47.23266,-1.55985666667
133140.000,47.2326566667,-1.55987333333
133141.000,47.232655,-1.55988666667
133142.000,47.23265,-1.55989666667
133143.000,47.2326483333,-1.55989666667
133144.000,47.2326483333,-1.55986
133145.000,47.232645,-1.55980166667
133146.000,47.232645,-1.55973166667
133147.000,47.2326483333,-1.55967333333
133148.000,47.2326483333,-1.55963166667
133149.000,47.2326516667,-1.55962166667
133150.000,47.2326516667,-1.55962166667
133151.000,47.2326516667,-1.55962166667
133152.000,47.2326516667,-1.55962166667
133153.000,47.2326516667,-1.55962166667
133154.000,47.2326483333,-1.55953
133155.000,47.23265,-1.55950333333
133156.000,47.2326433333,-1.55949666667
133157.000,47.2326416667,-1.55948333333
133158.000,47.2326416667,-1.55946666667
133159.000,47.232645,-1.559445
133200.000,47.232645,-1.55942833333
133201.000,47.2326416667,-1.55941833333
133202.000,47.2326483333,-1.5594
133203.000,47.2326516667,-1.559385
133204.000,47.23265,-1.559375
133205.000,47.2326466667,-1.559365
133206.000,47.2326416667,-1.55935333333
133207.000,47.2326383333,-1.559345
133208.000,47.2326366667,-1.55934166667
133209.000,47.2326266667,-1.55934166667
133210.000,47.2326183333,-1.559345
133211.000,47.2326083333,-1.559345
133212.000,47.2326016667,-1.55935
133213.000,47.2325866667,-1.559355
133214.000,47.2325766667,-1.55936166667
133215.000,47.2325666667,-1.55936166667
133420.000,47.232575,-1.55941833333
133421.000,47.232575,-1.55941833333
133422.000,47.232575,-1.55941833333
133423.000,47.232575,-1.55941833333
133424.000,47.232575,-1.55941833333
133425.000,47.232575,-1.55941833333
133426.000,47.232575,-1.55941833333
133439.000,47.2327166667,-1.55939333333
133440.000,47.2327183333,-1.55938333333
133441.000,47.2327233333,-1.55937166667
133442.000,47.2327283333,-1.55935833333
133443.000,47.232735,-1.55935166667
133444.000,47.2327466667,-1.55934
133445.000,47.232755,-1.55933166667
133446.000,47.232765,-1.55932
133447.000,47.232775,-1.55931166667
133448.000,47.2327816667,-1.559305
133449.000,47.2327833333,-1.559305
133450.000,47.2327866667,-1.559305
133451.000,47.23279,-1.55930833333
